date,1. open,2. high,3. low,4. close,5. volume
2020-03-10 12:20:00,277.2445,278.07,277.2101,277.6954,96050.0
2020-03-10 12:21:00,277.72,277.805,276.71,276.9684,145831.0
2020-03-10 12:22:00,277.0576,277.129,276.34,276.3814,116149.0
2020-03-10 12:23:00,276.38,276.99,276.35,276.72,81849.0
2020-03-10 12:24:00,276.73,277.46,276.73,276.98,75002.0
2020-03-10 12:25:00,276.9672,277.2101,276.61,277.145,93559.0
2020-03-10 12:26:00,277.1,277.19,276.55,276.7671,69724.0
2020-03-10 12:27:00,276.71,277.28,275.6,275.64,111138.0
2020-03-10 12:28:00,275.64,276.15,275.6245,275.74,67119.0
2020-03-10 12:29:00,275.79,276.04,275.33,275.39,84376.0
2020-03-10 12:30:00,275.35,275.535,274.9,274.9,127385.0
2020-03-10 12:31:00,274.88,275.2799,274.63,274.65,94562.0
2020-03-10 12:32:00,274.62,274.66,274.1,274.48,85674.0
2020-03-10 12:33:00,274.4,274.6,273.79,274.08,132374.0
2020-03-10 12:34:00,274.0,274.69,273.66,274.0209,112056.0
2020-03-10 12:35:00,274.05,274.65,273.66,274.34,127313.0
2020-03-10 12:36:00,274.35,274.59,273.76,274.4231,91511.0
2020-03-10 12:37:00,274.45,275.59,274.45,275.52,134154.0
2020-03-10 12:38:00,275.4501,275.89,275.35,275.64,116662.0
2020-03-10 12:39:00,275.54,276.1,275.32,275.38,97502.0
2020-03-10 12:40:00,275.4628,276.08,275.2,275.73,100183.0
2020-03-10 12:41:00,275.7292,275.84,275.21,275.38,64863.0
2020-03-10 12:42:00,275.29,275.367,274.6,274.785,92307.0
2020-03-10 12:43:00,274.8768,276.0,274.65,275.75,85486.0
2020-03-10 12:44:00,275.75,276.59,275.22,276.515,116069.0
2020-03-10 12:45:00,276.41,277.13,276.3,277.05,127119.0
2020-03-10 12:46:00,277.0765,277.21,276.34,277.045,121340.0
2020-03-10 12:47:00,277.07,277.21,276.41,276.5799,111926.0
2020-03-10 12:48:00,276.5673,277.0,276.32,276.36,83016.0
2020-03-10 12:49:00,276.385,276.64,275.88,276.38,83721.0
2020-03-10 12:50:00,276.35,276.4513,275.77,275.85,86937.0
2020-03-10 12:51:00,275.88,276.3,275.3,275.73,92404.0
2020-03-10 12:52:00,275.71,276.42,275.52,276.3235,111628.0
2020-03-10 12:53:00,276.31,276.67,276.05,276.6293,77250.0
2020-03-10 12:54:00,276.57,277.12,276.3301,276.7601,89358.0
2020-03-10 12:55:00,276.8099,277.29,276.6,277.152,86761.0
2020-03-10 12:56:00,277.125,277.49,277.08,277.3344,127227.0
2020-03-10 12:57:00,277.3461,277.3461,276.62,276.985,68448.0
2020-03-10 12:58:00,276.9725,277.224,276.67,276.76,76947.0
2020-03-10 12:59:00,276.8567,277.2,276.46,276.565,62233.0
2020-03-10 13:00:00,276.54,276.88,276.02,276.08,68634.0
2020-03-10 13:01:00,276.03,276.14,275.27,275.6399,83041.0
2020-03-10 13:02:00,275.64,276.0,274.78,275.19,99580.0
2020-03-10 13:03:00,275.13,275.37,274.91,275.08,96897.0
2020-03-10 13:04:00,275.07,275.58,275.07,275.3866,60503.0
2020-03-10 13:05:00,275.5,275.72,275.15,275.58,62806.0
2020-03-10 13:06:00,275.69,276.0,274.89,275.15,83585.0
2020-03-10 13:07:00,275.32,275.94,275.08,275.58,60617.0
2020-03-10 13:08:00,275.53,276.79,275.34,276.3877,117450.0
2020-03-10 13:09:00,276.497,277.47,276.415,277.17,102116.0
2020-03-10 13:10:00,277.09,277.5,276.72,277.35,74387.0
2020-03-10 13:11:00,277.26,277.38,276.0,276.27,107284.0
2020-03-10 13:12:00,276.235,276.86,276.07,276.16,91351.0
2020-03-10 13:13:00,276.21,276.63,276.15,276.58,60020.0
2020-03-10 13:14:00,276.5775,277.4418,276.37,277.418,69214.0
2020-03-10 13:15:00,277.4302,277.59,277.05,277.33,78319.0
2020-03-10 13:16:00,277.34,277.88,277.04,277.67,95348.0
2020-03-10 13:17:00,277.73,277.79,276.42,276.42,100375.0
2020-03-10 13:18:00,276.5,277.8317,276.5,277.8317,72210.0
2020-03-10 13:19:00,277.7918,278.26,277.5601,278.2,150814.0
